,mean_h,mean_h,mean_s,mean_s,mean_v,mean_v,std_h,std_h,std_s,std_s,std_v,std_v
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
class,,,,,,,,,,,,
ripe,68.70191,17.660673,58.185146,19.70369,128.78867,0.8440634,35.618416,9.17656,44.475414,23.160973,73.62837,0.6295103
rotten,81.46461,9.87323,67.855156,23.351181,128.9972,1.7149361,48.01514,16.137812,37.294937,16.044825,73.83802,1.1556654
semi_ripe,70.597855,20.715841,37.247665,8.863162,128.90704,0.7354107,35.946453,9.333351,26.287096,9.746353,73.777374,0.61419594
unripe,67.31757,23.48545,33.792343,7.8369746,128.6866,0.4359558,39.840294,9.697668,32.285618,10.248173,73.62167,0.52826923
