epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,16892.5,1.57945,2.3303,1.69803,0.01042,1.72455,0.40855,0.38413,0.31852,0.16507,0.41696,0.37157,0.31737,0.14192,1.8164,2.94492,2.36296,0.01617,0,0.0014654,0.0014654,0.0014654
29,17407.2,1.51099,2.22518,1.60173,0.01015,1.57312,0.3937,0.38216,0.33294,0.17307,0.41891,0.34517,0.32777,0.1534,1.80819,3.04387,2.3326,0.01661,0,0.0014456,0.0014456,0.0014456
30,17918,1.51877,2.29905,1.66138,0.01057,1.68184,0.45128,0.399,0.35893,0.18534,0.44303,0.363,0.35104,0.1596,1.7567,2.92042,2.19316,0.01601,0,0.0014258,0.0014258,0.0014258
31,18454.8,1.49066,2.27675,1.62018,0.01031,1.58379,0.52534,0.34913,0.3463,0.18275,0.50657,0.33666,0.3327,0.15437,1.7988,2.93765,2.33831,0.01612,0,0.001406,0.001406,0.001406
32,18984.4,1.57333,2.32451,1.64246,0.01038,1.66869,0.49529,0.34663,0.3518,0.18023,0.47747,0.33416,0.3344,0.15927,1.85633,2.89156,2.33227,0.0164,0,0.0013862,0.0013862,0.0013862
33,19492.2,1.51482,2.27961,1.68372,0.01005,1.63436,0.43503,0.36908,0.34241,0.17867,0.43177,0.34165,0.32866,0.14127,1.78696,2.91614,2.32754,0.01557,0,0.0013664,0.0013664,0.0013664
34,19996.8,1.53004,2.21924,1.59352,0.01009,1.59657,0.44282,0.3616,0.34297,0.18356,0.50575,0.34704,0.3374,0.15231,1.84585,2.94103,2.25514,0.01664,0,0.0013466,0.0013466,0.0013466
35,20505.3,1.52224,2.24912,1.5723,0.00987,1.49882,0.43055,0.3616,0.33279,0.17123,0.47739,0.32668,0.32567,0.15143,1.82791,2.96633,2.33873,0.01657,0,0.0013268,0.0013268,0.0013268
36,21016.8,1.47808,2.19925,1.4976,0.0096,1.55585,0.40137,0.38903,0.33419,0.17846,0.40628,0.37905,0.32531,0.14995,1.7761,2.96723,2.3562,0.01542,0,0.001307,0.001307,0.001307
37,21531.4,1.52211,2.22377,1.56685,0.01009,1.51221,0.45993,0.36908,0.36564,0.19771,0.45655,0.37157,0.35524,0.16633,1.75446,2.90864,2.25404,0.01576,0,0.0012872,0.0012872,0.0012872
